timestamp,padrao_1,padrao_2,padrao_3,padrao_4,padrao_5,padrao_6,padrao_7,padrao_8,padrao_9,padrao_10,padrao_11,padrao_12,padrao_13,padrao_14,padrao_15,padrao_16
1900-01-01 00:00:00.852,0.0,0.0,9.43129488908767e-155,4.226021128016345e-83,1.195914733590033e-46,0.0,4.593524428387943e-101,4.508182403698241e-78,2.806507226933905e-59,1.863433818106598,1.012762212703016,1.0092083635796739e-81,1.2819666393389217e-36,3.6290097900458316e-117,1.7502269749581107e-20,0.0
1900-01-01 00:00:03.401,0.2626726507432193,0.0,5.75646716941903e-252,1.953593587035824e-82,5.6943249970818825e-19,0.5994969136745156,2.788895036969771e-51,2.8029516802173944e-20,3.734614262693001e-61,1.5024442938567015e-220,5.38213892936878e-69,0.0,0.29588605090877473,2.44686182606959e-78,1.6878451638828336,0.0
1900-01-01 00:00:07.974,0.0,0.0,1.3082552650493386,0.0,1.1383165578712891e-271,0.0,4.752866742596535e-57,3.591705813504199e-76,0.0,0.26693266326917287,4.382321037688746e-115,0.0,1.575742968342906e-82,1.4145400615167413e-143,0.0,0.0
1900-01-01 00:00:08.614,0.0,1.6498725657244576e-47,0.0,0.6107327273136769,0.0,0.0022157473652649373,0.0,1.4550439480508746e-79,0.249747581950198,0.0,0.0,0.4036409175345003,2.688885205428603e-23,0.2562473219111892,0.0,0.7455304954061289
1900-01-01 00:00:09.458,0.0,0.0,1.4688830526411292,6.498513338324708e-184,9.167105843196166e-90,0.0,1.3193099638473608e-48,0.0,0.0,5.5206601339382434e-58,0.0,1.458454350638826e-129,0.0,0.0,3.110899516499707e-14,0.0
1900-01-01 00:00:11.643,0.0,0.0,1.164948418265539,0.0,3.9931515369117736e-73,0.0,0.0,0.0,0.0,1.5610404031992636e-54,2.8232238885950877e-76,0.0,0.0,0.0,0.0,0.0
1900-01-01 00:00:13.273,2.1500148641167774e-60,4.665919729142083e-18,0.0,1.3259504686796684e-28,0.5289119745957446,1.578592854544474e-91,0.0,3.1279855982861374e-112,0.8236076084775183,1.1041537394166416,0.3861798818742002,1.265826947446841e-59,6.65834189608609e-53,2.295361439632478e-89,4.9018019922080854e-108,0.0
1900-01-01 00:00:16.267,3.0779912434268976e-73,0.0,3.921873046059965e-36,0.0,2.0167571787018503,0.0,0.0,2.6820269423440023e-13,3.824563797881754e-101,0.35492656603787304,0.3297951111453276,3.8410017349679808e-31,8.026795763534081e-89,1.252318154356206e-60,0.36071099014055236,0.0
1900-01-01 00:00:19.643,0.0,0.0,0.9782681491845838,3.594873542594691e-112,0.0,1.7478133435509098e-110,1.2502528327625632e-90,0.31692270848455967,0.0,2.221046671618906e-119,1.1415202639535236e-88,3.712965224396546e-93,0.0,0.0,0.0,0.0
1900-01-01 00:00:21.795,0.0,0.0,1.1649484182655387,0.0,0.0,0.0,0.0,0.0,0.0,4.635970796994031e-82,1.0458266822766744e-43,9.740770918751878e-127,0.0,1.8698627452142118e-90,0.0,0.0
1900-01-01 00:00:27.154,1.6853215418491043,0.0,1.6591761408756354e-205,0.5380725048823345,0.0,4.280137482592818e-140,2.4899332185550032e-78,5.67550176070947e-65,4.5403087211423254e-66,0.0,0.0,0.0,4.986621833934562e-132,3.653361145988017e-111,1.8974644577269443e-38,0.0
1900-01-01 00:00:28.985,0.0,0.0,0.8948934935906128,0.0,3.0469192754167253e-84,0.0,0.0,2.8011041305909738e-126,2.5751808446206296e-104,0.0,3.202991196496125e-37,0.0,0.0,0.0,0.0,0.0
1900-01-01 00:00:30.343,0.0,0.0,2.591234508593756e-15,0.0,1.2853225357124185e-46,0.0,0.0,3.777345845560311e-111,0.0,1.420364441675576,0.0,0.0,0.0,0.0,3.74516905518911e-62,0.0
1900-01-01 00:00:30.854,0.5555091546910145,6.946642960509876e-94,0.0,0.0,3.4077177751527625e-92,0.0,1.2916754032253704e-22,0.5662317886306933,5.3587784578176996e-09,5.1173500883365215e-87,0.0,2.2234772148646004e-61,7.142206164552625e-40,0.4824708520833051,0.22957524088438871,5.426093404829479e-105
1900-01-01 00:00:32.738,2.447435085792391e-54,1.4114208757325593e-40,0.0,2.0388376315710957e-134,5.645158485645475e-44,0.0,0.20497615222487467,3.271597419626507e-73,1.4661917687228259e-19,2.496251378461892e-105,3.019751994788002e-82,0.0,0.6173809642805164,0.22056245162365368,0.37937720891050997,4.392834406722434e-87
1900-01-01 00:00:35.671,0.30982171971924577,5.160941373407407e-60,3.540668381051754e-153,1.8037040044127132e-52,3.7458392604670695e-44,6.464540890471854e-66,0.0,1.7733787128947276,1.9026196040991507e-33,4.295110505864559e-198,9.230981266971618e-22,2.137643907224321e-109,3.337975151726754e-106,0.2811031800616004,2.9985241230425126e-24,7.24558319883752e-75
1900-01-01 00:00:40.450,0.0,0.0,1.2134019029032907e-15,0.0,1.8652615567363213,0.3806771799447938,5.826400088976687e-117,3.1766666598254327e-108,3.432980640263373e-61,3.2271469459138954e-55,6.317444269270702e-35,1.3955640902845338e-49,0.0,1.348464944125405e-102,0.0,1.7774903431073547e-73
1900-01-01 00:00:42.039,0.0,0.0,5.403767668362431e-17,1.6967894041867e-127,1.8897639126349324,4.1530910550303576e-141,3.968301741704708e-52,4.421120237236685e-121,6.693636041052537e-108,0.0,0.1727271952942456,0.42868907648141075,1.440134124234399e-33,0.0,0.2822170274215609,0.0
